id,student_id/id,curriculum_version_id/id,subject_id/id,course_name,credit_type,credits,hours,grade_concept,is_approved,date_earned,origin_ref
led_stu_ppgcc_01_cc501,stu_ppgcc_01,reg_xyzq_cc_2024,sub_cc501,Metodologia de Pesquisa em Computação,subject_internal,4,60,B,True,2024-06-30,PPGCC 2024.1
led_stu_ppgcc_01_cc502,stu_ppgcc_01,reg_xyzq_cc_2024,sub_cc502,Algoritmos Avançados e Teoria da Computação,subject_internal,4,60,B,True,2024-06-30,PPGCC 2024.1
led_stu_ppgcc_01_cc503,stu_ppgcc_01,reg_xyzq_cc_2024,sub_cc503,Seminários de Computação Científica,subject_internal,2,30,B,True,2024-06-30,PPGCC 2024.1
led_stu_ppgcc_01_cc510,stu_ppgcc_01,reg_xyzq_cc_2024,sub_cc510,Aprendizado Profundo e Redes Neurais,subject_internal,4,60,A,True,2024-12-15,PPGCC 2024.2
led_stu_ppgcc_01_cc511,stu_ppgcc_01,reg_xyzq_cc_2024,sub_cc511,Processamento de Linguagem Natural,subject_internal,4,60,A,True,2024-12-15,PPGCC 2024.2
led_stu_ppgcc_01_cc512,stu_ppgcc_01,reg_xyzq_cc_2024,sub_cc512,Visão Computacional e Reconhecimento de Padrões,subject_internal,4,60,A,True,2024-12-15,PPGCC 2024.2
led_stu_ppgcc_01_apo,stu_ppgcc_01,reg_xyzq_cc_2024,,Atividades Complementares e Produção Técnica,apo,8,120,A,True,2025-11-30,APO
led_stu_ppgcc_01_def,stu_ppgcc_01,reg_xyzq_cc_2024,,Defesa Pública de Dissertação de Mestrado,milestone,52,780,A,True,2026-03-31,Defesa
led_stu_ppgcc_02_cc501,stu_ppgcc_02,reg_xyzq_cc_2024,sub_cc501,Metodologia de Pesquisa em Computação,subject_internal,4,60,A,True,2024-06-30,PPGCC 2024.1
led_stu_ppgcc_02_cc502,stu_ppgcc_02,reg_xyzq_cc_2024,sub_cc502,Algoritmos Avançados e Teoria da Computação,subject_internal,4,60,A,True,2024-06-30,PPGCC 2024.1
led_stu_ppgcc_02_cc503,stu_ppgcc_02,reg_xyzq_cc_2024,sub_cc503,Seminários de Computação Científica,subject_internal,2,30,A,True,2024-06-30,PPGCC 2024.1
led_stu_ppgcc_02_cc510,stu_ppgcc_02,reg_xyzq_cc_2024,sub_cc510,Aprendizado Profundo e Redes Neurais,subject_internal,4,60,A,True,2024-12-15,PPGCC 2024.2
led_stu_ppgcc_02_cc511,stu_ppgcc_02,reg_xyzq_cc_2024,sub_cc511,Processamento de Linguagem Natural,subject_internal,4,60,A,True,2024-12-15,PPGCC 2024.2
led_stu_ppgcc_02_cc512,stu_ppgcc_02,reg_xyzq_cc_2024,sub_cc512,Visão Computacional e Reconhecimento de Padrões,subject_internal,4,60,A,True,2024-12-15,PPGCC 2024.2
led_stu_ppgcc_02_apo,stu_ppgcc_02,reg_xyzq_cc_2024,,Atividades Complementares e Produção Técnica,apo,8,120,A,True,2025-11-30,APO
led_stu_ppgcc_02_def,stu_ppgcc_02,reg_xyzq_cc_2024,,Defesa Pública de Dissertação de Mestrado,milestone,52,780,A,True,2026-03-31,Defesa
led_stu_ppgcc_03_cc501,stu_ppgcc_03,reg_xyzq_cc_2024,sub_cc501,Metodologia de Pesquisa em Computação,subject_internal,4,60,B,True,2024-06-30,PPGCC 2024.1
led_stu_ppgcc_03_cc502,stu_ppgcc_03,reg_xyzq_cc_2024,sub_cc502,Algoritmos Avançados e Teoria da Computação,subject_internal,4,60,B,True,2024-06-30,PPGCC 2024.1
led_stu_ppgcc_03_cc503,stu_ppgcc_03,reg_xyzq_cc_2024,sub_cc503,Seminários de Computação Científica,subject_internal,2,30,B,True,2024-06-30,PPGCC 2024.1
led_stu_ppgcc_03_cc510,stu_ppgcc_03,reg_xyzq_cc_2024,sub_cc510,Aprendizado Profundo e Redes Neurais,subject_internal,4,60,B,True,2024-12-15,PPGCC 2024.2
led_stu_ppgcc_03_cc511,stu_ppgcc_03,reg_xyzq_cc_2024,sub_cc511,Processamento de Linguagem Natural,subject_internal,4,60,B,True,2024-12-15,PPGCC 2024.2
led_stu_ppgcc_03_cc512,stu_ppgcc_03,reg_xyzq_cc_2024,sub_cc512,Visão Computacional e Reconhecimento de Padrões,subject_internal,4,60,B,True,2024-12-15,PPGCC 2024.2
led_stu_ppgcc_03_apo,stu_ppgcc_03,reg_xyzq_cc_2024,,Atividades Complementares e Produção Técnica,apo,8,120,A,True,2025-11-30,APO
led_stu_ppgcc_03_def,stu_ppgcc_03,reg_xyzq_cc_2024,,Defesa Pública de Dissertação de Mestrado,milestone,52,780,A,True,2026-03-31,Defesa
led_stu_ppgcc_04_cc501,stu_ppgcc_04,reg_xyzq_cc_2024,sub_cc501,Metodologia de Pesquisa em Computação,subject_internal,4,60,A,True,2024-06-30,PPGCC 2024.1
led_stu_ppgcc_04_cc502,stu_ppgcc_04,reg_xyzq_cc_2024,sub_cc502,Algoritmos Avançados e Teoria da Computação,subject_internal,4,60,A,True,2024-06-30,PPGCC 2024.1
led_stu_ppgcc_04_cc503,stu_ppgcc_04,reg_xyzq_cc_2024,sub_cc503,Seminários de Computação Científica,subject_internal,2,30,A,True,2024-06-30,PPGCC 2024.1
led_stu_ppgcc_04_cc510,stu_ppgcc_04,reg_xyzq_cc_2024,sub_cc510,Aprendizado Profundo e Redes Neurais,subject_internal,4,60,A,True,2024-12-15,PPGCC 2024.2
led_stu_ppgcc_04_cc511,stu_ppgcc_04,reg_xyzq_cc_2024,sub_cc511,Processamento de Linguagem Natural,subject_internal,4,60,A,True,2024-12-15,PPGCC 2024.2
led_stu_ppgcc_04_cc512,stu_ppgcc_04,reg_xyzq_cc_2024,sub_cc512,Visão Computacional e Reconhecimento de Padrões,subject_internal,4,60,A,True,2024-12-15,PPGCC 2024.2
led_stu_ppgcc_04_apo,stu_ppgcc_04,reg_xyzq_cc_2024,,Atividades Complementares e Produção Técnica,apo,8,120,A,True,2025-11-30,APO
led_stu_ppgcc_04_def,stu_ppgcc_04,reg_xyzq_cc_2024,,Defesa Pública de Dissertação de Mestrado,milestone,52,780,A,True,2026-03-31,Defesa
led_stu_ppgcc_05_cc501,stu_ppgcc_05,reg_xyzq_cc_2024,sub_cc501,Metodologia de Pesquisa em Computação,subject_internal,4,60,B,True,2024-06-30,PPGCC 2024.1
led_stu_ppgcc_05_cc502,stu_ppgcc_05,reg_xyzq_cc_2024,sub_cc502,Algoritmos Avançados e Teoria da Computação,subject_internal,4,60,B,True,2024-06-30,PPGCC 2024.1
led_stu_ppgcc_05_cc503,stu_ppgcc_05,reg_xyzq_cc_2024,sub_cc503,Seminários de Computação Científica,subject_internal,2,30,B,True,2024-06-30,PPGCC 2024.1
led_stu_ppgcc_05_cc510,stu_ppgcc_05,reg_xyzq_cc_2024,sub_cc510,Aprendizado Profundo e Redes Neurais,subject_internal,4,60,A,True,2024-12-15,PPGCC 2024.2
led_stu_ppgcc_05_cc511,stu_ppgcc_05,reg_xyzq_cc_2024,sub_cc511,Processamento de Linguagem Natural,subject_internal,4,60,A,True,2024-12-15,PPGCC 2024.2
led_stu_ppgcc_05_cc512,stu_ppgcc_05,reg_xyzq_cc_2024,sub_cc512,Visão Computacional e Reconhecimento de Padrões,subject_internal,4,60,A,True,2024-12-15,PPGCC 2024.2
led_stu_ppgcc_05_apo,stu_ppgcc_05,reg_xyzq_cc_2024,,Atividades Complementares e Produção Técnica,apo,8,120,A,True,2025-11-30,APO
led_stu_ppgcc_05_def,stu_ppgcc_05,reg_xyzq_cc_2024,,Defesa Pública de Dissertação de Mestrado,milestone,52,780,A,True,2026-03-31,Defesa
